fréquence	t	UD
32	brezhoneg	
32	bemdez	
32	egile	
32	bepred	
32	oh	
31	sort	
31	e'	
31	;	
31	a-raok	
31	evel-se	
31	er-maez	
31	fin	
31	anezho	
31	levr	
31	rak	
31	gav	
31	meur	
31	boued	
31	in	
31	roet	
31	vit	
30	c'hoari	
30	gwenn	
30	komz	
30	{	
30	koz	
30	dac'h	
29	e-barzh	
29	a-wechoù	
29	abalamour	
29	aotrou	
29	vuhez	
29	be	
29	bara	
29	emaint	
29	mar	
29	klask	
29	daoust	
29	diouz	
29	galleg	
29	forz	
28	ezhomm	
28	Nag	
28	seurt	
28	brezel	
28	Mar	
28	gouzout	
28	pad	
28	zad	
28	wele	
28	Kement	
28	atav	
28	welet	
28	pegen	
28	Bremañ	
28	kas	
28	dorn	
28	hen	
28	glask	
28	d	
28	brao	
28	it	
28	deac’h	
27	ki	
27	tri	
27	dro	
27	e-pad	
27	nag	
27	ennañ	
27	kouezhañ	
27	gwechall	
27	brav	
27	dezho	
27	gar	
27	adarre	
27	anezo	
27	penaos	
27	Eno	
27	setu	
27	miz	
27	anezañ	
27	Med	
27	penaoz	
27	des	
27	bezhin	
26	gouest	
26	bern	
26	vale	
26	tapet	
26	ker	
26	rez	
26	Dont	
26	Eñ	
26	Biskoazh	
26	tammig	
26	koulskoude	
26	B	
26	ez'	
26	vloaz	
26	Ret	
26	oamp	
26	kaset	
26	ruz	
26	div	
26	Evit	
26	mes	
26	nemed	
26	ma'	
26	teu	
26	oe	
26	gwelloc'h	
26	dezhoñ	
25	la	
25	maro	
25	peseurt	
25	bro	
25	breur	
25	lec'h	
25	reont	
25	tre	
25	vezo	
25	Ema	
25	(alies)	
25	Den	
25	vi	
25	ba'	
24	aman	
24	Hemañ	
24	ac'hanon	
24	kar	
24	c'hi	
24	dindan	
24	Ac'hanta	
24	kouezhet	
24	Aze	
24	reer	
24	hennezh	
24	kollet	
24	Kalz	
24	debret	
24	bez	
24	am-oa	
24	vihan	
24	vad	
24	deomp	
24	amezog	
24	aer	
24	man	
23	ec'h	
23	c'hell	
23	Eun	
23	gousket	
23	hoc'h	
23	banne	
23	eme	
23	Gwelet	
23	mann	
23	dav	
23	Int	
23	Neuze	
23	el	
23	hanter	
23	vezont	
23	devoa	
23	}	
23	gwin	
23	hirio	
23	lein	
23	Benn	
23	(ur	
22	out	
22	biskoazh	
22	prenestr	
22	rank	
22	nemeur	
22	doare	
22	Pe	
22	M'	
22	oad	
22	Klevet	
22	pegement	
22	eet	
22	yae	
22	boan	
22	c'hoariet	
22	Kar	
22	N	
22	bennak)	
21	!…	
21	Aet	
21	loen	
21	vin	
21	[….	
21	bed	
21	loened	
21	trouz	
21	[…	
21	bgcolor=-F0FF80	
21	skuizh	
21	dirak	
21	prenet	
21	teue	
21	Simone	
21	melen	
21	gellet	
21	ga	
21	ablamour	
20	piou	
20	ri	
20	vras	
20	glas	
20	Feiz	
20	edo	
20	endro	
20	Gouzout	
20	Piv	
20	klasket	
20	Sevel	
20	enni	
20	Lavaret	
20	tont	
20	var	
20	abaoe	
20	outañ	
20	heller	
20	wel	
20	kent	
20	dezi	
20	anezi	
20	dilhad	
20	gaou	
20	bloavezh-mañ	
20	noa	
20	Goût	
20	pesked	
19	vijen	
19	gweled	
19	pi	
19	daol	
19	c'halon	
19	bevañ	
19	don	
19	spered	
19	kement-se	
19	vreur	
19	diaoul	
19	He	
19	betra	
19	laerezh	
19	war-dro	
19	kreiz	
19	kafe	
19	e-giz	
19	koad	
19	atao	
19	lost	
19	nep	
19	omp	
