fréquence	lemma	UD	
3	fêntuz		
3	c'hwero		
3	Bréma		
3	Vreizh		
3	libistrañ.-et_(Adj)		
3	Evelkent		
3	joget		
3	traoñv		
3	a-bik		
3	vond		
3	a-droujouez		
3	sizhun-DEM		
3	A-wechou		
3	ouzoh		
3	ougnad		
3	chaflik		
3	glao		
3	pastel		
3	C'hoariet		
3	lostenn-ze-DEM		
3	helorn-ze		
3	ankouaad		
3	Ez
1	bihan…		
3	koad-se		
3	lahet		
3	Lak		
3	refont		
3	arri		
3	ahe		
3	distoket		
3	varvont		
3	santout		
3	vannah		
3	les_numéraux_ordinaux		
3	Gout'		
3	a-bell		
3	barrek		
3	broz		
3	barreg		
3	mezo		
3	binviou		
3	damm		
3	quoi		
3	Skoulm		
3	diganit		
3	diouzoh		
3	dãmã		
3	difetet		
3	A-viskoaz		
3	vall		
3	aval.-où_(PL)		
3	Hop!,Houp!		
3	},		
3	tie(z)-mañ,		
3	warno		
3	boufonet		
3	donenn		
3	paste		
3	nepred		
3	gaoutuz		
3	butun		
3	Tremenet		
3	c'hoant-kousket		
3	dibennet		
3	deusontañ		
3	chaoker-e-henou		
3	logod		
3	Vrest		
3	pan		
3	douar,		
3	baieañ		
3	sall		
3	boued.-a		
3	ankounac'h		
3	kaoud		
3	gollet		
3	homañ		
3	Damen		
3	ennout		
3	poueziou		
3	Kemeret		
3	A-nevez		
3	leh		
3	eure		
3	parkeier.-eier		
3	sèrten		
3	binvioù		
3	divac'hagn		
3	penn-da-benn		
3	tamm.-où_(PL)		
3	flah		
3	plant		
3	hennez		
3	dra-man-dra		
3	studiañ		
3	brav.-aat		
3	noz.-vezh		
3	Debriñ		
3	boutailh.-où_(PL)		
3	gêriadenn		
3	gaouiad		
3	Itron		
3	dabutal		
3	blejal		
3	Kerne		
3	Gallo		
3	Breudeur		
3	…]		
3	kanaouennoù		
3	levenez		
3	gorteiñ		
3	del.-où		
3	inkane		
3	furbuen		
3	goadeg		
3	melc'hod		
3	deiz-se		
3	yaouank.yaouanka.yaouanka		
3	terrupla		
3	skrijus		
3	Goudese		
3	dewezh		
3	ac'hanoc'h		
3	Marijo		
3	have		
3	lev		
3	kreizteiz		
3	grenn		
3	Langleiz		
3	is		
3	sacha		
3	bageerezh		
3	feurmiñ		
3	a-zoare		
3	gwalarn		
3	tostaat		
3	Anet		
3	gac'haat		
3	labouran		
3	ganañ		
3	trakteur		
3	farsus		
3	kas.IMP		
3	keleier		
3	yaou		
3	gwasad.-at		
3	paʁk		
3	ton		
3	Aliezig		
3	gwasoh		
3	lorgenn		
3	Anavezet		
3	kompren.-et_(Adj)		
3	kement-ze		
3	askell		
3	Pegourss		
3	ahuel		
3	zidamall-zidamall-zidamall-zidamall.tamall		
3	barn		
3	aon,		
3	bazh-balenioù		
3	bemdeiz		
3	kaout.neus		
3	begad		
3	Dimeuz		
3	retornin		
3	gellout		
3	skubet		
3	T'		
3	garew		
3	Neket		
3	kin…		
3	Emzavoh		
3	vourh		
3	moal		
3	fouter		
3	Pik		
3	bran		
3	gonta		
3	bazh.-ad.-où_(PL)		
3	dous		
3	Pere		
3	Que		
3	dir		
3	patatez-mañ		
3	galv		
3	ezho		
3	feal		
3	amzer-DEM		
3	anaon		
3	teñval		
3	hir.-der		
3	aozañ.-er		
3	roet		
3	meud.-ad		
3	Dereat		
3	devet		
3	Hui		
3	meuleudi		
3	ankeniet		
3	ziskenn		
3	lonkañ		
3	E-mod-se		
3	lambig		
3	planedenn		
3	lakaat.IMP		
3	Plunéret		
3	Forges-la-Forêt		
3	maniel		
3	baʁ		
3	gyzin		
3	zebʁajn		
3	nask		
3	stleja		
3	Cherr		
3	traou-all		
3	voger		
3	alkolik		
3	rankchomp		
3	tarzhet		
3	dromplet		
3	Jack		
3	plac’hig		
3	kountan		
3	Bugel		
3	mean		
3	nije		
3	dorre		
3	Mag		
3	glasket		
3	Douarnenez		
3	koaven		
3	Chin		
3	zud-kozh		
3	peadra		
3	droug-spered		
3	pal,_ar_pal		
3	peus.kaout		
3	gouzañv		
3	Almagn		
3	eizh		
3	(ne)		
3	Par		
3	pu		
3	razh		
3	aergelc'h		
3	plijus		
3	-écho		
3	noñ.		
3	hac		
3	hent-sen		
3	amzer-gwall		
3	Vro		
3	Oz.		
3	Angela		
3	Glavaj		
3	surtout		
3	(na)		
3	tañ		
3	gowessat		
3	gwinizh.-egi		
3	berr.berrik-tra-tra		
3	c'helle		
3	Lemel		
3	fagn		
3	ac'hanemañ		
3	fozelloù		
3	c'hwitellat		
3	kartenn.-où_(PL)		
3	A-nebeudigoù		
3	labourizion.		
3	rouz.-et_(Adj)		
3	gozhoni		
3	E'		
3	parat		
3	sailhat		
3	douaroùier		
3	ihuél		
3	e-korf		
3	a-kostez		
3	gouil		
3	spias		
3	Berr		
3	C'hwec'h		
3	Vo		
3	Evite		
3	argãt		
3	pesked…		
3	geti		
3	vrec'h		
3	Kement-se		
3	pediñ.-enn		
3	kere		
3	/məmbez		
3	ra-kweɲ		
3	Anna.-ig		
3	ouelet		
3	gwallaozet		
3	stalioù		
3	bemnoz		
3	gol		
3	brop		
3	əzaj		
3	leret		
3	.'		
3	Gi		
3	dehe.kaout		
3	chaoser		
3	velin		
3	vez-pronom_écho		
3	vez-heñv		
3	rekinal		
3	taul		
3	bepred.		
3	paper.-où_(PL)		
3	vevahomp		
3	bras.brasañ.brasañ		
3	taolad		
3	bourrapl		
3	pintet		
3	a-gaoz		
3	gost		
3	COP.ous		
3	genem		
3	yaouank.yaouankañ.yaouankañ		
3	choajo		
3	kej-mej		
3	gwelead		
3	guskemanteu		
3	ferm		
3	etaldin		
3	Oriant		
3	Tostennoù		
3	Blaouezh		
3	wezh		
3	ag.ag.gallout.ket		
3	ein		
3	havet		
3	a-greiz		
3	pont		
3	evel.pronom_incorporé-écho		
3	Sachet		
3	komz.-al_(V)		
3	tunet		
3	Xizo		
3	toare		
3	Nolwenn		
3	bediñ		
3	tihunan		
3	Tec'het		
3	achumant		
3	tle		
3	Lareit		
3	huès		
3	buhé		
3	par-par-doc'h-par-par		
3	tonet		
3	ar-n-ou		
3	Na(g)		
3	Chetu		
3	hou		
3	huei		
3	äl		
3	lair		
3	Respont		
3	B'		
3	pontoù		
3	vuoh		
3	Skornet		
3	estroc'h		
3	espera		
3	nag		
3	Stert		
3	zeal		
3	Faota		
3	ali		
3	èbr		
3	hent-bras		
3	personne.kaout		
3	pfi.COP		
3	berrik-mat		
3	Donet		
3	doc’hte		
3	housket		
3	Hiraezh		
3	logodenn		
3	pasemãt		
3	eẅe		
3	adjudant		
3	houarn.-où_(PL)		
3	tasad.-ad		
3	?'		
3	Stankaet		
3	denniñ		
3	Toulliñ		
3	fardiñ		
3	kenwerzh		
3	Ker		
3	emb		
3	èldoc'h		
3	poultr		
3	punissou		
3	mignon		
3	c'hregiñ		
3	ledãn/		
3	/pe		
3	əlakex		
3	foll		
3	Livet		
3	gete		
3	kozh.kosha.kosha		
3	sotoc'h.-oc'h		
3	a-vesk		
3	truez.-ek		
3	par-ouzh-par		
3	éan		
3	'
3	gwir!		
3	eus-hañ		
3	troved		
3	».		
3	/pənošt		
3	leiẃes		
3	lien		
3	zimezan		
3	pfi.mont		
3	vout		
3	matez		
3	Couic		
3	evitoñ		
3	prediñ.-et_(Adj)		
3	ferwet		
3	Marivonn		
3	muntr-se		
3	kaout-eus-hoñ		
3	fachet		
3	yoc’h		
3	hirvoudi		
3	Stramwelet		
3	glazer		
3	heñchou		
3	chirijenn		
3	kaloneg		
3	E-leh		
3	bi'		
3	tanvez-amann		
3	uz'		
3	c'hwezhañ.-et_(Adj)		
3	brañchiñ.-et_(Adj)		
3	Aih		
3	Eõn		
3	dreñoñ		
3	bale.valez		
3	Aï		
3	goeñf		
3	mikseur		
3	vanchan		
3	tea		
3	Abagoa		
3	vordiallourez		
3	Yégn		
3	kazel.-iet_(Adj)		
3	Divennet		
3	relijion		
3	giztañ.		
3	Debrit		
3	louet		
3	sine		
3	Tomas		
3	am-bo		
3	Kemener		
3	groug		
3	Anou'		
3	Diwe'		
3	ministr		
3	l'		
3	e-noa		
3	bet-kaout		
3	astennet		
3	atao		
3	pronom_reflexif		
3	Hen		
3	ti-ti-kêr		
3	esperañs		
3	dwar		
3	dihet		
3	Ral		
3	fonnus.fonnusañ.fonnusañ		
3	da.Pronom_incorporé		
3	Be(t)		
3	votez-lèr-mañ		
3	distruj		
3	bourc'h		
3	Elliant		
3	tommañ		
3	Bonjour		
3	Maian_Stefen		
3	djwin		
3	Bremaïk		
3	chakod		
3	Beñ		
3	mouchouiroù		
3	stamm		
3	Hounne		
3	reor		
3	tier-soul		
3	eur-se		
3	Gav		
3	dikriet		
3	Pat		
3	daou-se		
3	Pronoms_post-verbaux_de_désambiguïsation_genrée		
3	c’harrdi		
3	dom-ni		
3	e-lerc'h		
3	tiblas		
3	diegi		
3	grignouz		
3	vagwal		
3	lhabour'		
3	didan		
3	r.		
3	pech'		
3	IV		
3	hargou.		
3	Disoñj		
3	gle		
3	Drefen		
3	mevel		
3	vestr		
3	Douar-gretel		
3	his-se		
3	kuitaat		
3	peurunvan		
3	gwiniz-tu		
3	kelenn.-er,_-our		
3	mo'		
3	gwrizienn		
3	touez		
3	gwella		
3	zouez		
3	Sec'het		
3	pañsion		
3	dint		
3	aneu		
3	dozviñ		
3	Jean		
3	chetu		
3	avalou-douar		
3	plusk		
3	ha-tout		
3	yè		
3	Kement-all		
3	A-raog		
3	flemmus		
3	entanet		
3	loa.loaiad-loaiad		
3	yezhadur		
3	diemskiant		
3	ravitailhamant		
3	tout-à-fait		
3	modern		
3	laouénédigues		
3	diagent		
3	tristidigues		
3	kaoc'h.-at		
3	Kelenner		
3	foenn-ze		
3	falherez		
3	douar-man		
3	marc'had.-ourien		
3	gwadegennou		
3	da-se		
3	Koulskoude		
3	souezet		
3	frer		
3	stlaka.-añ		
3	penguen		
3	panés		
3	emichañs		
3	lampat		
3	reamp		
3	En_despet		
3	desped		
3	ganfe		
3	bloavezh-mañ		
3	Marguerite_Le_B.		
3	B.		
3	mezaon		
3	tad-écho		
3	Allas		
3	a-galz		
3	scriva		
3	aneval		
3	hep.dale		
3	toull.-añ_(V)		
3	wazed.		
3	araozo		
3	Gwechal		
3	simpl		
3	pes		
3	Emaoun		
3	ebeul		
3	bagoù		
3	kador.-où_(PL)		
3	a-vec'h		
3	ranki		
3	lopat		
3	on-doa-kaout		
3	ostilh		
3	Trist		
3	Blejal		
3	bleuniou		
3	dessin		
3	chase		
3	herr		
3	dour-mor		
3	Amelioret		
3	naviga		
3	zéo		
3	dra:		
3	tachad		
3	Penmarh		
3	bïan		
3	bouch.-où_(PL)		
3	warhoaz		
3	gros		
3	gwinkal		
3	e-touesk		
3	Darbet		
3	semplañ		
3	c'homzoù-se.		
3	gonsoliñ		
3	rannañ		
3	Ma'		
3	dibloñset		
3	frouezen.singulatif		
3	am-eus-kaout		
3	vian		
3	dah		
3	Jeneral		
3	Ramke		
3	zoudarded		
3	ziblas		
3	divesker.divesker.gar		
3	diwar-dro		
3	Toulzac'h		
3	bugalé		
3	Kastellin		
3	dougeres		
3	draf		
3	bilat		
3	merhed		
3	Lambaol		
3	tramant		
3	Roh-ar-Mor		
3	drouz		
3	elestr		
3	héman		
3	Yvon		
3	méas…		
3	német		
3	mèas		
3	rea		
3	staotat		
3	brinsez		
3	Vreiz		
3	donvor		
3	A-raok		
3	Diskouezet		
3	frigaset		
3	flatrañ		
3	POSS-hon-tri		
3	bihan.vihanna.vihanna		
3	Bugn…		
3	gouél		
3	goulou-rousin		
3	gwa		
3	zresa		
3	waremm		
3	c'hoefoù		
3	Monique		
3	Aber		
3	deus-ni		
3	Hini-DEM		
3	o-deveze-kaout		
3	gador		
3	henwerziou		
3	krevet		
3	kastell		
3	Versaillez		
3	dremeno		
3	Seza		
3	sivi		
3	intentent		
3	puns		
3	druez		
3	tonton		
3	Laou		
3	bigorn		
3	posupl		
3	strollad		
3	reverdioù		
3	marvor		
3	trempañ		
3	domm		
3	rezounabl		
3	Konta		
3	Kant		
3	bihan.vihannañ.vihannañ		
3	kavalier		
3	prajou		
3	<<)		
3	poent-DEM		
3	uzinou		
3	gwelloh-marhad		
3	voyenn		
3	diwar-benn		
3	fri.-ad		
3	yehed		
2	gouli.-ioù_(PL)		
2	Pardonit		
2	evañ.-er		
2	e-keñver		
2	nes		
2	mamm-gozh		
2	yac'h.-aat		
2	id		
2	Marguerite		
2	saludiñ		
2	gedal		
2	trubuill		
2	skoaz-&-skoaz		
2	koach-koach		
2	karantez.-us		
2	riboul		
2	fete		
2	Dirak		
2	c'hourre		
2	goue(z)o		
2	waz		
2	Heullian		
2	heni		
2	h~ɛm_ə_		
2	tXɔw		
2	koat		
2	parfed		
2	(laɤ)		
2	poeltron		
2	chô		
2	gantoñ		
2	paper		
2	diw		
2	pronom_réflexif		
2	zh		
2	Lak'		
2	pere		
2	chô)		
2	tizh.mat		
2	eveldout		
2	malizenn		
2	itron		
2	Alberto		
2	vrav		
2	dostaat		
2	kouent		
2	gudenn		
2	gasaus		
2	manac'h.pluriel_interne		
2	E-giz-se-E-giz-se-se		
2	kleñvedoù		
2	sankañ		
2	werenn		
2	c'housker		
2	furm.-où_(PL)		
2	pesketaer		
2	bombezadegoù		
2	wallhunvre		
2	mul		
2	Alejandro		
2	ki-bleiz		
2	gouelec'h		
2	Kemerit		
2	gastelodenn		
2	señorita		
2	gwelet.-et_(Adj)		
2	bezh		
2	fezh		
2	magañ.-et_(Adj)		
2	c'hwitell!		
2	Atoe		
2	modest		
2	fent		
2	klevout-écho		
2	karate		
2	judo		
2	dilun		
2	Fec'h		
2	olifant		
2	eoul		
2	Doktor		
2	koazezioù		
2	seveniñ.-et_(Adj)		
2	sturier		
2	dihuniñ		
2	Feiz!		
2	farsadenn		
2	Fantasio		
2	blijadur		
2	c'horn-bro		
2	Azalek		
2	Yakari		
2	Carhaix		
2	Melloù		
2	glav.-enn.-où_(PL)		
2	dibaot		
2	flastrañ		
2	diougan		
2	arnev		
2	dizamant		
2	guzh		
2	gwenojenn		
2	aotrouien-se		
2	Alkool		
2	c'hast		
2	Erru		
2	oas		
2	c'hazetennoù		
2	striv		
2	Biskoazh!		
2	maoc'h		
2	dispak-bras		
2	taol-mañ		
2	az		
2	Tournesol		
2	remplisseur		
2	arabat		
2	vo…		
2	Pouezit		
2	barvioù		
2	korf.-ad		
2	virje		
2	Eus		
2	levrig-mañ		
2	test		
2	labour.labourer-douar.-er,_-our		
2	(bet)		
2	labourer-douar		
2	bihanañ-priziet		
2	(biken)		
2	Soazig		
2	iskisoc'h		
2	vlazenn		
2	Strimp		
2	sifern		
2	bleuñ.-enn		
2	brizh		
2	c'hontrol		
2	luc'hed.-enn		
2	vurezh		
2	sal-mañ-DEM		
2	sonit		
2	verc'h)		
2	Mik		
2	bellgomzo		
2	Karout		
2	evitañ		
2	Frañsez_Kervella		
2	Kervella		
2	va-unan		
2	ouien		
2	repozi		
2	a-drenv		
2	dezhañ.pronom_incorporé		
2	clivée		
2	furmoù		
2	edont		
2	ad-Dao-ad-Dao-interjection		
2	Kaerat		
2	Daoñ		
2	trankil		
2	krazañ		
2	dasson		
2	Anjela		
2	istor-se		
2	daveti		
2	zalc'h		
2	zeuy		
2	Didud		
2	gompezenn		
2	peuketa		
2	gwered.-où_(PL)		
2	tigarez		
2	teufe		
2	lipat.tarlipat-tarlipat		
2	ta,		
2	benniget		
2	gildro		
2	c'hwil.-iañ_(V)		
2	Iffig		
2	skediñ		
2	C’hwek		
2	E-leizh		
2	siouaz		
2	Ber		
2	kregiñ.-et_(Adj)		
2	e-kerzh		
2	distagañ		
2	c'hregin-se		
2	gant-se		
2	#adenn		
2	torr-penn		
2	Talvoudus-kenañ		
2	Skype		
2	Labour		
2	krozal		
2	gwerzid.-où_(PL)		
2	Klakenned.-enn.-ed_(PL)		
2	zigoran,		
2	youc'hadennoù		
2	talabao		
2	ezañ		
2	niz		
2	dezhañ.		
2	aliañ		
2	eñvorioù		
2	Halala		
2	avat!		
2	flaer-DEM		
2	Feiz,		
2	Fidamdoull		
2	Disfizius		
2	Olalaa		
2	Fougaser		
2	Distilhañ		
2	unan-hag-unan		
2	c'hoad-se		
2	diouto		
2	drist		
2	zilhad-gwele		
2	gwelloc'hikañ		
2	werz-se		
2	Skediñ		
2	skrin		
2	ruzlivet		
2	Olaaa		
2	hag(-eñ)		
2	all…		
2	harp		
2	art.-er,_-our		
2	Graet		
2	ankouait		
2	stered.-enn.-ek		
2	holl]		
2	Orê		
2	aerbost		
2	eur-mañ-'		
2	misionoù.-où_(PL)		
2	baouez		
2	keizh		
2	Divi		
2	naet.naetaat.-aat		
2	n’en		
2	c’henlodañ		
2	kaoc'h		
2	gwelaat.-aat		
2	C'hwek		
2	c'hartoù		
2	nemet.nemetañ.nemetañ		
2	merc’hed		
2	deroù		
2	departamant		
2	duel.yezh.-egezh		
2	kig-se		
2	gig		
2	kignet		
2	glevout		
2	tudoù		
2	Yann.-ig		
2	dazloc'her-dazloc'her.dazloc'her		
2	dirazon		
2	A-vec'h		
2	dimezell		
2	ler		
2	komze		
2	traoniennoù.		
2	vrezhonek		
2	Sailhat		
2	ven		
2	bo		
2	Wened		
2	Arc’hoazh		
2	art.pronom_incorporé		
2	dalc’hmat		
2	reas		
2	a'		
2	zont		
2	kurius		
2	trelliñ,_trellañ		
2	Brou		
2	Vec'hiko		
2	POP.hen		
2	Arthur		
2	meskañ		
2	ober.-enn		
2	Paotr		
2	paotred		
2	c'hentañ		
2	plantenn-DEM		
2	Doue!		
2	Baoñ!		
2	gwenn)		
2	jentil)		
2	war-warn-ugent		
2	Kouignal		
2	boledoù,		
2	duel.skouarn		
2	tintal		
2	tokoù-houarn		
2	Ful		
2	Gastafiorenn		
2	Garan		
2	eus-me		
2	kaout-ket		
2	Gortozit		
2	welout		
2	c'hirri-nij		
2	emaon		
2	spontus-se		
2	hehoo		
2	Mallozh		
2	derc'hel.IMP		
2	varvailhat		
2	(Morse)		
2	kelenn_(V.)		
2	didud		
2	reoliañ.-erezh		
2	redadegoù-tirvi		
2	Pamplona		
2	eme.pronom_incorporé		
2	n’ho		
2	hañv-DEM		
2	sul.-vezh		
2	-ennoù		
2	Ebro		
2	gwezenn		
2	c’housker		
2	merour)		
2	asantiñ		
2	ostilhoù,		
2	raimp		
2	stered		
2	P		
2	devoa		
2	karout.kar		
2	O_4_		
2	desket		
2	rust		
2	tra-se		
2	Peoc'h		
2	rez		
2	zigollas		
2	ponsin		
2	dalvoudegezh		
2	evel-evel-se		
2	Foenn		
2	korn.pluriel_interne		
2	-añ		
2	labourat.labourer-douar.douar		
2	redet.-et_(Adj)		
2	gomze		
2	Poltred-mañ		
2	__<sub>j<sub>		
2	drailhet		
2	Ruz		
2	kalon.-ek		
2	patrom		
2	go		
2	seblantout		
2	genta		
2	harz		
2	merañ		
2	tanavañ		
2	win		
2	Gwin		
2	{anezhañ		
2	c'hezeg-ze		
2	c'haloupont		
2	c'hwezhiñ		
2	dremen		
2	vignonez		
2	youc'hal		
2	Yey,		
2	Yao		
2	Peogwir		
2	gazeg		
2	Glizata		
2	Frammet-abominabl		
2	Minabl		
2	ankounah		
2	berraj		
2	Langoat		
2	strudaj		
2	struj		
2	galonad		
2	livadenn		
2	gouzougad		
2	kalon.-ad		
2	gwiridig		
2	disterrañ		
2	stok		
2	devadur		
2	gleb.-et_(Adj)		
2	Tanaillet		
2	vrizardenn		
2	pronom_réciproque		
2	nor-se		
2	ziouharr		
2	housked		
2	zo.		
2	Jañn-Mari		
2	bufed		
2	votadeg		
2	rac'haone		
2	sorohell		
2	da-vad		
2	gwri		
2	stard		
2	lavarout.lavared.lavared		
2	abilitaj.-itaj		
2	evel-hennig		
2	venajerien		
2	diouig.diouig		
2	diouig.-ig		
2	Charlez.		
2	abilitaj		
2	meskoù		
2	lec'h.-ioù_(PL)		
2	blenier,		
2	lïen		
2	grohen		
2	livañ-fall		
2	parkoù		
2	Neb-aon		
2	enebi		
2	Nul		
2	nep-X		
2	A-wejo		
2	oas,		
2	Michela		
2	kalondev		
2	abominabl		
2	ree		
2	Abreji		
2	Heuc'h		
2	ahannig		
2	berv		
2	Graphie		
2	standard		
2	wetur		
2	diske		
2	kozéal		
2	u'		
2	aezet		
2	gorzaillenn		
2	Falc'had		
2	kalkennou		
2	lod.-enn		
2	e-teus		
2	Mark		
2	galoupat		
2	Ankounac'heet		
2	aog		
2	bezel.-iad		
2	zas		
2	lapined.-ed		
2	aï		
2	daoulin		
2	sevel,		
2	wezenn		
2	dibalamour		
2	diaes.-amant		
2	bouc'h		
2	plas.-et_(Adj)		
2	klenkañ.-et_(Adj)		
2	labour-DEM		
2	vern		
2	bete-gouzoud		
2	a-viskoaz		
2	da-viken		
2	pronom_relatif		
2	evelti		
2	a-raog		
2	gonit		
2	voral		
2	dañjerus		
2	ide		
2	hop		
2	andu		
2	paotr-koz-se		
2	boufon		
2	bouzellou		
2	voz		
2	loened-ti		
2	elvenn		
2	libistret		
2	zañsal		
2	grouget		
2	he-deus-he-deus.kaout		
2	kaer.-oc'h		
2	evidon-me		
2	bec'h.-ioù_(PL)		
2	ouzh.pronom_incorporé-écho		
2	drouklaouen-drouklaouen.drouklaouen		
2	am-bije-me.am-bije-me-kaout-écho		
2	(ebet)		
2	Marh		
2	dôk		
2	friket		
2	Honnezh		
2	mogeriou		
2	WhatsApp		
2	facetime		
2	selled		
2	in.		
2	haoud		
2	anv.-ioù_(PL)		
2	Peziou		
2	ouzin-me		
2	Mervel		
2	ziskuizañ		
2	gast		
2	gaoz		
2	horvenn		
2	an
2	debrer-gleskered.
2	skiant
4	ano
3	lañchore
4	tu-DEM
2	abuzet
3	falz-se
4	fouetet
1	bihan-se
3	eme.pronom_incorporé-écho
4	petore
2	soup-DEM
1	zarneiñ.neuial
17	druz
15	soubenn
1	zarneui.neuial
3	galon
1	a-kleiz
5	laoskel
2	laosk
3	Lomig
4	troet
2	davet
3	zaol
1	da-vidout
5	Poent
3	da-vid
6	Piou
7	journal
1	dibi
1	tislavared.lavarout
1	kement.se
1	grene
2	diontañ.
3	Degouezhet
4	Fañch
2	Kichen
2	geneuta
7	deliou
2	Moarvat
1	zalho
2	gezeg
2	Hag-eñ
3	az-teus.az-teus-kaout
2	binijenn
2	viñs
1	pare-zevet
1	skillou.
1	dihouzougañ
12	anezo
1	Kristof
1	zigristofi
2	ahanout
1	zislavaran.lavarout
10	deut
2	Kenkoulz
24	eman
1	tiaoulad.-at_(V)
11	betegout
1	tiflipfe
6	kozh-kozh
1	ziflukas
7	c'hogn
1	digand
3	Jobig
7	Deh
2	diganti
4	diganin
3	zigarez
2	kousket
2	Digoulzañ
2	zimeziñ
5	bik
8	skouarn
1	porpant
6	dresañ
1	dindannout
21	vamm
1	brezhoneg.pronom_incorporé
1	diouzhit,
5	gra
6	diflukañ
9	diouz
1	superlatif
4	diouzhit
2	podou
2	gré
2	skôtet
6	anat
14	pare
1	halañ.
3	Deg
4	du-mañ
7	Gwall
2	sav
2	koazez
3	vann
15	eus.pronom_incorporé
6	loened.
10	dioustu
10	giz
1	duel.lammat
1	tiskari
2	Diskenn
1	karez,
37	eh
2	onn
3	petra-DEM
3	kaol-mañ
6	Jañn
2	maeronez
2	hizier,
2	P/e
9	gouez
1	disterra.disterra.disterra
5	vije
1	disterra
1	tazon
1	bragou-ze
4	Bezo
4	menn
2	tiviza
4	kazh.pluriel_interne
2	Leuskel
2	diwarnoc'h
1	diwarbenn.diwarbenn.penn
2	diabarz
2	dleje
2	dreistout
3	poull-DEM
2	tlee
1	dleches
6	greet
7	ze
1	dluzh
3	a-zivout
4	tond
2	filostad
3	tezenn.-où_(PL)
3	fentuz
1	Aonig
3	veza
1	teuas
7	e-unan
31	Dre
1	hir-amzer-hir-amzer-amzer
17	teuio
5	e-barz
3	oaled-mañ
7	teu
4	Kraoñ
4	zorn
1	labourat.-erien-labourerien-douar
1	sod.-ez_(F)
12	Poan
2	zougen
9	hiriv
1	zizoura.
1	dourc'hwez-c'hwezh
1	kozh.koz.-aat
2	dre-oll
3	Oto
4	If
3	dreset
1	Hec'h
1	amezeg.-ezed
6	droed
1	bañsion
2	kenken
2	A-hervez
1	troukkomz-troukkomz.komz
3	ordinal_(Adv.)
4	eviti
11	em-eus-kaout
1	droukkontet
2	paour-ads
3	draou
5	Hizio
3	Feson
3	drouk.-oc'h
3	e-nevez-kaout
3	art.-ard.-ed_(PL)
2	dukarded
2	(duarded)
1	meleganed.
2	fatiket
6	plah
1	Jenovefa
1	garmat
2	inosantez
16	gar
2	Serri
2	ei
4	zod
3	Fedamdoustek
2	koef
1	faout.-añ_(V)
1	ho-taou
14	hepken
15	pakañ
6	e-keit
1	hec'h-unan
1	foetañ.-et_(Adj)
13	c'hwi
2	E-kerzh
2	rastellerez
2	avel-avel-suill
2	Ignatich
1	kelenner
1	kreizig-kreiz.kreizig-kreiz-kreizig-kreiz
2	Rusia
4	a-leiz
1	P/e-sellout
5	heb
14	merc'h.-ed_(PL)
1	Boujant,
1	deusonte
3	Me]
2	sourcial
1	aes.-et
5	Hini
1	kleñkañ
3	araog
1	eisteiz
2	P/e.bed
3	boa.boa
4	tañvañ.-et_(Adj)
4	ebeulez
3	skei
4	hourvez
1	font
1	Mé
1	ébén
1	vlenierien
11	_[ø]_
6	_[ø_
1	Bezañ
2	liv.-adenn
2	Euz
2	am-bez.am-bez-kaout
1	ket.ket-kaout
1	Trabidellañ
1	gweañ
3	daouarn
4	emon-me-emon-me-écho
7	nehet
2	Emberr
4	az-po.az-po-kaout
8	lard
1	Natali
2	mervel.-et_(Adj)
1	en-dro-tro
3	kinnig.-et_(Adj)
1	gerzhed
2	gane
1	chantier
1	ul[/nonn
1	labourat.
2	Gout
1	servijet
2	Skañv
5	end-eeun
4	warne
2	Kalkenniñ
1	douez…
4	Reiñ
2	ergentaou
2	Gouvezit
4	ervad
1	leviañ.-et_(Adj)
2	haoz
7	espres
1	espres-kaer
1	Ranket
1	a-espres
2	noz-DEM
2	devel
1	Estroh
1	ostaleri.-où_(PL)
3	cholori
6	estren
4	Gwelloh
1	Sellet
3	etrezeg
1	hec'h
5	neuz
1	evel-se-se
4	seh
3	Kanañ
3	iskis
3	eveldomp
2	karez
2	tok-DEM
2	duel-lammat
2	vezer
16	just
1	kalon.galonad-galonad
5	E-lec'h
2	evez
2	dourvarc'hat
1	Nep-X
3	penn.-où_(PL)
1	pôtr-kêz-se
4	henoz
3	Vid
47	nevez
5	tôl
4	Les_numéraux_ordinaux
1	C'hoaz
16	evid
1	gorrek.-aat
1	evidout.pronom_incorporé
2	gosâd
2	glac'har.-et_(Adj)
1	Kaeraat
1	Gwasɑ̃
1	béd
1	frikadennou
2	zonje
3	giz-se
2	hég
3	fall.-egan.-ig
3	Charlez
5	voubou
1	avel-mañ
3	chiminal
1	vad!
1	trabaser-mañ
10	C-ha(g)
2	ive.
3	(/ez
4	eus)
31	nor
5	ezomm
1	kelenn.-er,_-our.-ien,_-ion_(PL)
2	jedoniezh
1	(diouzoh/ahanoh)
2	souezhañ.-et_(Adj)
1	diontañ
3	forc'h-houarn
14	mond
1	livañ-livet-fall
1	abuziñ.-et_(Adj)
3	fell
2	sempla
1	Tarlonka
1	felle
1	mouga
4	luskellat
9	fenoz
1	duarded
2	meleganed
1	fesonet-fall.fesonet-fall.-et_(Adj)
2	Feteiz
19	deiz.-vezh
2	sovaj
3	vat.
2	Evito
1	feuls
2	vhiwfé-ked
1	en-ket
2	Disadorn
1	am-bo.am-bo-kaout
6	baganez
6	brizhkredennoù
7	koz
1	nevez-dremenet
1	karoud
1	A-hont
6	vag
2	gac'ho
1	skeud
1	gwenn,
