Nombre total: 0, autres exemples: 0, tableaux erreur 0

Nombre total: 0, autres exemples: 0, tableaux erreur 0

Nombre total: 0, autres exemples: 0, tableaux erreur 0

Nombre total: 5, autres exemples: 0, tableaux erreur 0

Nombre total: 5, autres exemples: 0, tableaux erreur 0

Nombre total: 5, autres exemples: 0, tableaux erreur 0

Nombre total: 5, autres exemples: 0, tableaux erreur 0

Nombre total: 5, autres exemples: 0, tableaux erreur 0

Nombre total: 5, autres exemples: 0, tableaux erreur 0

Nombre total: 5, autres exemples: 0, tableaux erreur 0

Nombre total: 5, autres exemples: 0, tableaux erreur 0

Nombre total: 5, autres exemples: 0, tableaux erreur 0

Nombre total: 5, autres exemples: 0, tableaux erreur 0

Nombre total: 5, autres exemples: 0, tableaux erreur 0

Nombre total: 13, autres exemples: 1, tableaux erreur 0

Nombre total: 13, autres exemples: 1, tableaux erreur 0

Nombre total: 20, autres exemples: 1, tableaux erreur 2

Nombre total: 20, autres exemples: 1, tableaux erreur 2

Nombre total: 24, autres exemples: 1, tableaux erreur 2

Nombre total: 25, autres exemples: 1, tableaux erreur 2

Nombre total: 25, autres exemples: 1, tableaux erreur 2

Nombre total: 38, autres exemples: 1, tableaux erreur 2

Nombre total: 38, autres exemples: 1, tableaux erreur 2

Nombre total: 38, autres exemples: 1, tableaux erreur 2

Nombre total: 39, autres exemples: 1, tableaux erreur 2

Nombre total: 39, autres exemples: 1, tableaux erreur 2

Nombre total: 65, autres exemples: 2, tableaux erreur 7

Nombre total: 65, autres exemples: 2, tableaux erreur 7

Nombre total: 65, autres exemples: 2, tableaux erreur 7

Nombre total: 72, autres exemples: 2, tableaux erreur 8

Nombre total: 72, autres exemples: 2, tableaux erreur 8

Nombre total: 73, autres exemples: 2, tableaux erreur 8

Nombre total: 73, autres exemples: 2, tableaux erreur 8

Nombre total: 73, autres exemples: 2, tableaux erreur 8

Nombre total: 83, autres exemples: 2, tableaux erreur 9

Nombre total: 83, autres exemples: 2, tableaux erreur 9

Nombre total: 85, autres exemples: 2, tableaux erreur 9

Nombre total: 86, autres exemples: 2, tableaux erreur 9

Nombre total: 92, autres exemples: 2, tableaux erreur 10

Nombre total: 92, autres exemples: 2, tableaux erreur 10

Nombre total: 97, autres exemples: 2, tableaux erreur 12

Nombre total: 98, autres exemples: 2, tableaux erreur 12

Nombre total: 98, autres exemples: 2, tableaux erreur 12

Nombre total: 98, autres exemples: 2, tableaux erreur 12

Nombre total: 98, autres exemples: 2, tableaux erreur 12

Nombre total: 98, autres exemples: 2, tableaux erreur 12

Nombre total: 98, autres exemples: 2, tableaux erreur 12

Nombre total: 98, autres exemples: 2, tableaux erreur 12

Nombre total: 100, autres exemples: 2, tableaux erreur 13

Nombre total: 106, autres exemples: 2, tableaux erreur 14

Nombre total: 107, autres exemples: 2, tableaux erreur 14

Nombre total: 107, autres exemples: 2, tableaux erreur 14

Nombre total: 107, autres exemples: 2, tableaux erreur 14

Nombre total: 107, autres exemples: 2, tableaux erreur 14

Nombre total: 112, autres exemples: 2, tableaux erreur 15

Nombre total: 112, autres exemples: 2, tableaux erreur 15

Nombre total: 112, autres exemples: 2, tableaux erreur 15

Nombre total: 119, autres exemples: 2, tableaux erreur 15

Nombre total: 119, autres exemples: 2, tableaux erreur 15
