fréquence	Gloss	UD	
1	dé.grève..r		
1	2.hyp		
1	semain.ée		
1	well-waz		
1	mieux-pire		
1	grincement		
1	chaussures		
1	Tak!		
1	Françoise		
1	causait		
1	cassant		
1	dis..1SG--moi		
1	es--toi		
1	Marianne		
1	2SG-a--toi		
1	gagnera		
1	d'ici.DIM		
1	peur--		
1	complètement--plein		
1	karreg		
1	rochers		
1	asied		
1	assiette		
1	gemer		
1	le_livre.-ioù_(PL.)		
1	dam--		
1	presque..couleur		
1	peinte		
1	renard.pluriel_interne		
1	animal-chevaux		
1	aval.-et_(Adj.)		
1	païen.n.-ez_(N.F.)		
1	mal.krediñ		
1	imbécile		
1	lazhan		
1	de..s..saoûl.er		
1	étincelle		
1	épingle		
1	ongl.ée		
1	levran		
1	ensorceler		
1	herbage.SG		
1	Amon		
1	sur..nommé		
1	laine.-eier		
1	mère-_1_kaer		
1	cheval-art		
1	le-abil		
1	espiègle		
1	sur.nom..m.é		
1	eur-glesker		
1	_1_kargañ		
1	charg.-erez		
1	euse-POSS		
1	son_2_-korf		
1	corps-DEM		
1	aller-encore		
1	allons-encore		
1	de_1_-kostez		
1	livre..s		
1	livres		
1	IMP!		
1	ne!		
1	contr.-iñ		
1	Vassilievna		
1	dis-moi		
1	fagot.1		
1	fagot.ée		
1	_5_kogn		
1	arrangé		
1	nouveau_1_-genel		
1	né.		
1	meurzh		
1	vent.ée		
1	lait-chevaux		
1	Charles		
1	moitié-cent		
1	dépar.é		
1	broyé		
1	chagrin..é		
1	têté		
1	Krediñ		
1	3SG-aura		
1	le_mekanik		
1	machine.-où_(PL.)		
1	dé.foudr.er		
1	eau-là		
1	<VP>		
1	_1_kaojeal		
1	_1_pik		
1	vivra		
1	_1_fermier-ien		
1	_1_pauvre-ien		
1	émettre		
1	EXPL-mont		
1	im.heñvel		
1	mé.content		
1	Matriona_ne_1_		
1	païenn.-ez_(nom_féminin)		
1	douze_bloaz		
1	quand.?		
1	dañs		
1	danses		
1	un__1_païen.n.-ez_(F.)		
1	fent.u		
1	vous_POSS		
1	votre-les_numéraux_cardinaux		
1	Trégor		
1	dinaou		
1	serten		
1	an.passé		
1	dé.parti		
1	<cherché>		
1	sais..2SG		
1	(à_4_)		
1	poul.-ez_(F.)		
1	iche_ne.R		
1	cogner		
1	outil.pluriel_interne		
1	invit.-iñ_(V.)		
1	Lena.ig		
1	ingal		
1	à_1_.gwech		
1	le_skol		
1	paire		
1	voyou-là		
1	chez.1		
1	Jojo		
1	arriverait		
1	arriver/é		
1	livre.-où_(PL.)		
1	pfx-plein		
1	pfx_1_.ober		
1	canaill.-ez_(N._coll.)		
1	_1_peine		
1	dé.foeltr		
1	foudr.-añ_(V.)		
1	bouche.		
1	moue		
1	un..#ailh_(N..)		
1	ier.une		
1	elle)		
1	peut..IMP		
1	consentir		
1	lui.		
1	pein.-iañ_(V.)		
1	dépêcher		
1	re.commence		
1	empirer		
1	le_machine-où_(PL.)		
1	(at)tirer		
1	mauvaise		
1	gel.-añ_(V.)		
1	vie.-ioù_(PL.)		
1	nuit_(COP		
1	était)		
1	regarde-lui		
1	porc'hell		
1	pfx_1_.tevel		
1	bûches		
1	dépense-POSS		
1	son-boutique		
1	abondamment		
1	Soljenisyn		
1	re--.commencé		
1	piper		
1	E-kerzh		
1	en.cours		
1	râteau.-erez		
1	douze_1_		
1	emberr		
1	krak		
1	à-cul		
1	dé..écorc.é		
1	R..2SG-auras		
1	gard.s		
1	Margot		
1	si,		
1	dis-je		
1	brûl.ure		
1	vin-là		
1	ne-R		
1	dé..à..coudre.ée		
1	color.-adenn		
1	comme--ça		
1	+C.DIM		
1	kroaz--		
1	achètes		
1	chaud.-oc'h		
1	nemeur		
1	P.Pronom		
1	de-autant		
1	poulich.-ez_(F.)		
1	e_ne.R		
1	.oreille		
1	dé.fatigu.-et_(Adj.)		
1	sur.nager		
1	le__5_kazh		
1	noms		
1	jours		
1	être_dont		
1	chose-ci-_1_tra		
1	de..s.saoûl.er		
1	vent-brûle		
1	end-eeun		
1	un_pagan		
1	mé-krediñ		
1	croyanc.-enn		
1	moment-DEM		
1	perdra		
1	eux_da		
1	bien_que_que		
1	sur.nom..mé		
1	distag		
1	détaché		
1	cout..ure		
1	bris.é		
1	chaude..plus		
1	vent--brûle		
1	fort.le.plus		
1	femme.-e(z)_(PL.)		
1	vient.3SG		
1	frappe..1SG		
1	bout-ci		
1	koustañ		
1	coût.-et_(Adj.)		
1	bell.i		
1	intéress.é		
1	torkad		
1	à_1_-biskoazh		
1	gweloud		
1	dé.grèv.er		
1	frère-beau		
1	de_1_-nevez-		
1	nouveau_1_		
1	feu.-ailh		
1	sfx.-et_(Adj.)		
1	perte-feu		
1	_5_krampouezh		
1	mince-là		
1	re..jette		
1	mécanic..#er_(A..)		
1	le..#eg,_#og_(N..A..)		
1	eur..#ez_(N..F..)		
1	fém..		
1	vil-DEM		
1	le_maison.-e(z)_(PL.)		
1	le.s--maison		
1	P/e.un		
1	seulement.s		
1	trou.contenant.s		
1	mécanic.ien		
1	se_retrouver		
1	piétiner		
1	dit-pdg		
1	bois.chercher		
1	attristé-tout		
1	sang-et--souillures		
1	voile.-où_(PL.)		
1	bruit.sfx.er		
1	ah!		
1	mon_2_.un-DIM-penn		
1	sont_les_numéraux_cardinaux		
1	2.-ig		
1	y__POSS		
1	leur_2_.un--où_(PL.)		
1	a-un		
1	forban		
1	unan!		
1	1PL-Kaout		
1	troup.-ad		
1	toi_(R)_dleout		
1	avec_nom_propre		
1	savoir_(R)_gouzout		
1	carr.-igell		
1	iole		
1	enseignant		
1	fatigue.-añ		
1	petit,		
1	là,		
1	couture		
1	un.-ik		
1	on.-ed_(PL.)		
1	sur-autour		
1	sur-long		
1	le_gad		
1	lièvre.-on_(PL.)		
1	mille_franc		
1	sur--betek		
1	dé.partial		
1	R_vez		
1	est_canaill.-ez_(N._coll.)		
1	semaine.ée		
1	_1_mieux-_1_pire		
1	merde.sfx		
1	.erie		
1	troupeau.sfx		
1	douze..ée		
1	SG.ée		
1	voyag.eurs		
1	période..ée		
1	sol.ée		
1	mensonge.eur		
1	travail.l.erie		
1	tabutal		
1	engueuler		
1	le_matelas.-où_(PL.)		
1	faible.esse		
1	faible.N.-où_(PL.)		
1	faible.-ded		
1	_5_klañv		
1	malad.ie		
1	prendre..sfx		
1	_1_riches		
1	riv		
1	froid.sfx		
1	pied..sfx		
1	privation		
1	court..sfx		
1	dieu..sfx		
1	notenn		
1	note.-où_(PL.)		
1	grammatical		
1	pens..sfx		
1	prederiañ		
1	pens.Adj.		
1	complet_1_.padout		
1	dur.ée		
1	dieu.sfx		
1	imprim.erie		
1	pensée.sfx		
1	pensée.Adj.		
1	le..F.s		
1	rest.es		
1	et..ée		
1	bœuf.s		
1	_1_beleg		
1	prêtre.s		
1	vign..es		
1	long..petit		
1	court..petit		
1	porcs.DIM		
1	elet.-où_(PL.)		
1	fournit		
1	local		
1	skuizh.-der,		
1	n.		
1	m.		
1	amer..t..sfx		
1	amer..t..sfx.s		
1	noir..N		
1	vol..N		
1	aér..é		
1	envi.-uzenn		
1	peuple..sfx		
1	blé.sfx		
1	fruit..sfx		
1	vin.sfx		
1	eau..sfx		
1	gelée..sfx		
1	éclairs..sfx		
1	kleñved		
1	maladie.sfx		
1	matin..ée-là		
1	é_P.pronom_incorporé		
1	buzug		
1	très-_1_pell		
1	burug		
1	lieue		
1	contrebraquer		
1	ven.u..bout		
1	ceinture		
1	soi-même		
1	_1_kordenn		
1	_5_moteur		
1	P_1_-dessus		
1	moi(écho		
1	moi)		
1	P--dessus		
1	a-is		
1	note.-où		
1	Le_Bozec_(1933)		
1	Le_Bozec_(1933:28,29)		
1	moi_(R_1_)_krediñ		
1	le_magazin		
1	chaud--kenañ		
1	instruct.ion		
1	hanter--		
1	mi.nuit		
1	Michel		
1	sfx.soldats		
1	encouru		
1	rocher.pluriel_interne		
1	le_matelas		
1	matelas.-ioù_(PL.)		
1	presque.souvent		
1	Bicha		
1	bula,		
1	bicha		
1	bala		
1	ingalañ		
1	égaler		
1	quel.diable		
1	in.terriñ		
1	si_1_		
1	orgueil		
1	humilité		
1	quel--nom		
1	à_4__kaoc'h		
1	merde.-a		
1	parent		
1	ranger		
1	énergie.nous		
1	chanter,		
1	le_pomme-où_(PL.)		
1	.noms		
1	_1_bâton		
1	guerre-monde		
1	dé--..crasse..#añ_(V)		
1	_1_prêtres		
1	vol.ation		
1	_1_vélo.-ioù_(PL.)		
1	dépenaille_R_4__vez		
1	lui_atav		
1	pfx.corner		
1	2SG.kaout		
1	un_gouel_(M.)		
1	chaussure.-où		
1	fermes		
1	estancias		
1	grand-ec'hon		
1	spacieux		
1	priv.ation		
1	Bobby		
1	Fisher		
1	amer..t.ume		
1	amer.erté.s		
1	dous		
1	can.PRES.3P		
1	PRON.3P		
1	come		
1	touch		
1	with		
1	PRON.2P		
1	Employment		
1	Office		
1	trempé		
1	chocolat		
1	chansons		
1	Si		
1	voulons		
1	feuille.-ioù_(PL.)		
1	s_melen		
1	dé.attache		
1	volette		
1	chien.POSS.3SG		
1	il.aime		
1	souille		
1	céréale		
1	nom-verbe		
1	noms-fort		
1	complément		
1	cela		
1	éloigner		
1	bousill.é		
1	passerons		
1	Lesneven		
1	galv		
1	draps.s		
1	crins.1		
1	delwenn		
1	statue.-où_(PL.)		
1	saint.s		
1	noir.ci		
1	cabri.DIM		
1	mor_1_.dorer		
1	.reconnaître		
1	.plier		
1	semi_1_.koll		
1	quasi_1_.vide		
1	.doux		
1	quasi_1_.kuzhat		
1	quasi_1_.paouez		
1	quasi_1_.gouloù		
1	feuille.-où		
1	vol..ette		
1	ispilh		
1	crochet		
1	limonade		
1	adalek		
1	pfx.redek		
1	encourru		
1	Gouel_(M.)		
1	ya.		
1	pfx_1_-botez		
1	dé.lac.er		
1	soulier.s		
1	dé.agrafer		
1	dé.boutonner		
1	chupenn		
1	veste		
1	.chauffer		
1	à_1_.kent		
1	maDoue!		
1	morceau.-ouigoù		
1	PL.DIM.PL		
1	peuple		
1	istribilh		
1	méfiez		
1	le__1_pilpous		
1	hypocrite.-ed_(PL.)		
1	emmener		
1	comme_1,+C_		
1	vol..dar--		
1	louanges		
1	écuelle.ée		
1	fent		
1	humour		
1	-coût		
1	lieu-nom		
1	jeun..#iz_(N..)		
1	esse.s		
1	Colombie		
1	en-suspens		
1	durc.ir		
1	faible.-ed		
1	orange.-ez_(coll.)		
1	é_kaout		
1	_1_pont		
1	pont.-enn		
1	diavaezh		
1	à_4_mal-enfourner		
1	corn.u		
1	2_1_.lagad		
1	œil_1_		
1	Quel		
1	gad		
1	2.oreilles		
1	maître-M.SG		
1	pays-duel.masculin		
1	aurait.aimé		
1	comme.là		
1	pied.petit		
1	habits-ci		
1	Hélène		
1	Jestin		
1	loin.plus		
1	en-tal		
1	depegn		
1	loin..#aat		
1	acte.s		
1	<femmes>		
1	anaon		
1	fatigue		
1	fléau		
1	(fatigue)		
1	condamné		
1	un_nom_propre		
1	Huitric		
1	Unan		
1	loup.-i_(PL)		
1	C..suis		
1	record		
1	35000		
1	en-istribilh		
1	pfx-pendre		
1	pfx-pignat		
1	honneur		
1	e.art		
1	diwezhañ		
1	est_pronom_météorologique		
1	elle_(particule_o		
1	dé.comprendre		
1	relation.-où_(PL.)		
1	Divskouarn		
1	boked		
1	que.da		
1	dis--tu		
1	le__1_breton-ed_(PL.)		
1	pfx..war--lerc'h		
1	à..la..suite		
1	question-DEM		
1	Dibedoup!Dibedoup!		
1	étoupe		
1	Dibedon!Dibedon!		
1	ventre.ée		
1	acun		
1	repos		
1	souff.ert		
1	P.3SGM		
1	Expl		
1	de_ouzh		
1	1SG.ai		
1	chant.é		
1	P.1SG		
1	ils.ont		
1	auront		
1	garm		
1	frênes..1		
1	filleul.-ez_(F.)		
1	Duguesclin		
1	entendre_a		
1	à_4__lavarout		
1	moustiques.-enn		
1	3.SG		
1	lui/elle		
1	hors		
1	de.dans		
1	2..jambe		
1	côté--envers		
1	den.le		
1	attend.-ein		
1	pfx_1_plegañ		
1	mauvais._1_destin		
1	mauvais.taol_(M.)		
1	coup.-où_(PL.)		
1	I.R.A.		
1	cont.-et_(Adj.)		
1	malheur.s		
1	mauvais.attrapera		
1	le_faible.-der		
1	_1_faible.-ded		
1	homme.s		
1	un_?)		
1	fêt.é		
1	tige		
1	contente__(R)		
1	été_diables_art		
1	le_enfants_da		
1	dira.lui		
1	vient_(R)		
1	mondes_gant		
1	exprès_(R)		
1	kredin		
1	trouverais		
1	capabl		
1	gout		
1	plus.plus		
1	peu.-oc'h		
1	entendions		
1	P).selon		
1	couleur.s.pareil		
1	one		
1	bleiz.		
1	de.s		
1	plus.de		
1	douteux		
1	semi.tous/tout		
1	porc.-igoù		
1	elets		
1	vous_3_		
1	prie		
1	trop_1_-tout		
1	sac-DEM		
1	légèrement_1_.kostez		
1	.côte		
1	dès		
1	cessons		
1	dialecte-DEM		
1	dialecte		
1	le)_deiz		
1	ce-&		
1	et-ce		
1	lui-là-lui		
1	lieu-ci--lieu		
1	R_COP		
1	sera_kavout		
1	dis-toi		
1	chose-là-tra		
1	hen-&		
1	et-hen		
1	qui-qui		
1	ptc.vient		
1	objet-reçoit-3SG		
1	veut-emph-2SGM		
1	ACC/DAT-3SG-Q-ACC/DAT-3SG-Q		
1	3SG-Q-particule-3SG-Q		
1	maladie-maladie		
1	realis-être		
1	environ		
1	Da'		
1	tabut		
1	contes		
1	ribot		
1	Pariz		
1	puni		
1	chauffer-le		
1	NOG		
1	étonnée		
1	vieill.-aat		
1	eux_aussi		
1	huchement		
1	voyageurs		
1	période..Suffixe_--ad		
1	ensemble.lié		
1	chant.er		
1	à_4__merde.-a		
1	2cv		
1	BMW		
1	a-hend-all		
1	à.chemin.autre		
1	perzh		
1	partie.-ioù_(PL.)		
1	faible.plus		
1	bande		
1	3SF		
1	sol-maison		
1	ciment		
1	madig		
1	bonbon.-où_(PL.)		
1	bon.DIM.-où_(PL.)		
1	mettrai		
1	dés..dos.er		
1	dé.criniè.é		
1	intéressé		
1	kreñv-		
1	arrivais		
1	part.-enn		
1	ie_1_		
1	on_stupéfait_particule_o		
1	à_4__sellout		
1	regarder_ouzh		
1	oeuf		
1	bec.qu-ad		
1	dépenaille		
1	loger		
1	à_1_.avant		
1	étoile		
1	doctrine		
1	N..#ezh_(N..)		
1	presque.aussitôt		
1	Sivestrig		
1	rose.SG		
1	trou._1_ventre		
1	un.peu_1_.kostez		
1	le_(camion)		
1	Poste		
1	pourr.-añ_(V.)		
1	_1_corde		
1	_5_tiges		
1	un.peu_1_.côté.-añ_(V.)		
1	Yann_1_		
1	_1_pigeon		
1	parents--vieux		
1	vieillissons		
1	poigne		
1	_1_pounner		
1	lourde		
1	Kustum		
1	vond		
1	aot.		
1	paiera		
1	meuliñ		
1	le_gouel_(M.)		
1	fête.-ioù_(PL.)		
1	écuelle.-ad		
1	plaignait		
1	_4_dont		
1	légère		
1	oppress.é		
1	resterait		
1	ceux-jeune		
1	Scrignac		
1	favorisé		
1	idée.s		
1	en.le.s		
1	collect.-erien		
1	fil.euse		
1	1_petrol		
1	pétrole		
1	Je		
1	tuais		
1	pour.que		
1	mangeait		
1	déterre-TRANSITIF		
1	le_laerañ		
1	vélo.-ioù		
1	se.trouvera		
1	sauté		
1	glep		
1	dé..lac.er		
1	soulier.-où_(PL.)		
1	kreviñ		
1	côté-envers		
1	daibret		
1	hoh		
1	Vannetais		
1	1838		
1	IVD.		
1	R..kaout		
1	gwellout		
1	prés		
1	chant.-et_(Adj.)		
1	souchañ		
1	filip		
1	entière		
1	suis.u		
1	huchal		
1	lui_zo		
1	mangera		
1	minuit		
1	quand_(R)_1_		
1	bod		
1	donna.moi		
1	portier		
1	contre_da		
1	dé.un-		
1	badinellus		
1	trapu		
1	comme..là/ça		
1	rocher.s		
1	oppressé		
1	eured		
1	envi.-uz		
1	u_a-benn		
1	de-possible		
1	quand.bien.même		
1	bec.ée		
1	carte--ci-carte		
1	quel-nom		
1	loin-extrêmement		
1	Ouste		
1	accueilli		
1	véhicule-nijal		
1	pegeit		
1	brallañ		
1	exulter		
1	Bimbaoñ		
1	bimbalaoñ		
1	7H		
1	port.é--Ouest		
1	CC		
1	fils--moi		
1	habile		
1	tiss.-erien		
1	erands		
1	Kathleen		
1	fais--tu		
1	nous_/_a-zioc'h		
1	nous_/_a-us		
1	elle_/_gant		
1	avec__		
1	Jan		
1	father		
1	il.mangea.le		
1	livre.petit		
1	un_tamm		
1	morceau_diouzh		
1	porte..		
1	disparu		
1	moi_da		
1	de_1__mont		
1	aller/c'hoari		
1	cher.é		
1	foucher		
1	commencent		
1	(se)_plaindre		
1	du
1	canne		
1	vit.IMP		
1	homme_ne_dleout		
1	devrait_evañ		
1	boire_alcool		
1	de_1__boeson		
1	explosé		
1	si_répondons_fall		
1	si_réponds_fall		
1	chausson.s		
1	téléphon.é		
1	cherch..#et_(Adj)		
1	--et		
1	jouets		
1	Mélanie		
1	vol.er		
1	par.s		
1	sabbat		
1	jeu.s		
1	arrivais,		
1	Délik		
1	Julien		
1	posupl		
1	-3SGM		
1	_5_crèche		
1	le_endroit-où_(PL.)		
1	chien-dour		
1	oc'h		
1	Lanvenejen		
1	était_dont		
1	peupl.ant		
1	peut-être.-où_(PL.)		
1	bonbons		
1	sur.poids		
1	cabri		
1	_1_rouille.-enn		
1	vill.-iadenn		
1	les_2_		
1	tion		
1	en-comme-se		
1	vol.-où_(PL.)		
1	fils-moi		
1	iraient		
1	très_1_-pell		
1	mon_2__les_numéraux_cardinaux		
1	eu.-enn		
1	cuillière-_1_pot		
1	long..DIM		
1	court..DIM		
1	noir--mûres		
1	coups--voix		
1	_Malgeneg		
1	9		
1	16		
1	+		
1	addit.-ad		
1	ion		
1	Fri_Lous		
1	étay.er		
1	auteur.s		
1	Bu		
1	Ba		
1	jusant		
1	enrouler		
1	anim.-ed_(PL.)		
1	aux		
1	mange.on		
1	a..2		
1	sauf.et.si_(R_4_)		
1	fermement		
1	paress.-er,_-our		
1	dit--il		
1	char.à.banc		
1	étayer		
1	dires		
1	incontestable		
1	aut.eurs		
1	NEG.lec'h		
1	NEG.lieu		
1	blé/céréale		
1	dernier.superlatif		
1	votez		
1	maïs		
1	azv		
1	(morse		
1	jamais)		
1	frênes		
1	guenilles		
1	autour_da		
1	quand_1_'		
1	directeur		
1	casque		
1	moto		
1	cours.-adeg		
1	rentrerons		
1	li.ssons		
1	à_4__sachañ		
1	comme.ci		
1	écouté		
1	Stihiothetise		
1	kathe		
1	arthro		
1	(portée_ambigüe,_large_ou_restreinte)		
1	disait-lui		
1	PRT		
1	être.1P		
1	contr.eur		
1	sur-tête		
1	deux_cent		
1	inquiet.-et_(Adj.)		
1	complet_1_.dur.-elezh		
1	Mal-Esprit		
1	3SG-kaout		
1	vale,		
1	vont,		
1	vreinañ		
1	(à)_4_		
1	Salaun		
1	fassiez		
1	de_source_sûre		
1	que/comment		
1	il/elle		
1	attendaient		
1	comments		
1	raté		
1	bus		
1	(femme)		
1	creux		
1	presse		
1	prestement		
1	de.y		
1	QU		
1	fais-tu		
1	peur-aozañ		
1	préparé		
1	banvez		
1	festin		
1	semi.boire		
1	semi.brûler		
1	presque.dall		
1	presque.profond		
1	presque.doux		
1	presque.du		
1	presque.alies		
1	presque.kerkent		
1	mais_qu(o)i		
1	sans.égard		
1	homme.-ed		
1	(jamais)		
1	très_1_.plié		
1	dañvad		
1	mouton		
1	deñved		
1	moutons		
1	cui-añ_(V.)		
1	existe		
1	un-CLF		
1	requin		
1	attaque-ASP		
1	chaque-un-CLF		
1	pirate		
1	accueillant		
1	enterrera.FUT.AUT.IMP		
1	Cill		
1	Bhriocáin		
1	sar		
1	souffert		
1	vont.on		
1	entend..IMP		
1	gel.-iñ		
1	gel.er		
1	lisez		
1	-le		
1	mari.-iñ		
1	-er		
1	/egile/		
1	et_R		
1	me_1_		
1	est_elle_(particule_o		
1	surviendra		
1	intéresse		
1	matin-là		
1	_5_quai		
1	semi.loskiñ		
1	semi.evañ		
1	vu.1SG		
1	Yani		
1	3_reun		
1	crin.Singulatif		
1	SG_hepken		
1	_1_kristen		
1	chrétien.-ien_(PL.)		
1	angoiss.-iet_(Adj.)		
1	pluñv		
1	partie.ger		
1	le_porzh		
1	porte.-er,_-our		
1	travail.l.-adeg		
1	obligé-INT		
1	signer		
1	dé..crin..ièré		
1	pourquois		
1	matelas		
1	en-dehors		
1	et_du		
1	noir-mouar		
1	mûres_art		
1	le_P.e		
1	dedans_a		
1	envoy..--et_(Adj)--é		
1	poign.ée		
1	_5_kraou		
1	étable		
1	taol_(M.)		
1	donnez		
1	aisément.plus		
1	la
1	gauche		
1	dam		
1	betra		
1	ferm-et_(adj.)		
1	tuait		
1	donnerez		
1	recevrez		
1	gwell,		
1	se.lève.-oc'h		
1	_1_bourc'h		
1	aér.eux		
1	dé.unan		
1	Mal--esprit		
1	koñchenn		
1	drap.s		
1	tumulus_nom_propre		
1	tombent		
1	poultrenn		
1	poussière		
1	maquerellage		
1	maudit-DEM		
1	hesk		
1	promènerai		
1	konchenn		
1	van		
1	souviens.je		
1	lit.il		
1	rencontras.tu		
1	Fri		
1	Lous		
1	le__1_beleg		
1	prêtre.-ien,_-ion_(PL.)		
1	dé.crin..ièré		
1	ronger		
1	le_moger		
1	_1_tres		
1	form.-adenn		
1	chiens-là		
1	yudal		
1	hurler		
1	e.le		
1	boulot		
1	reçoit		
1	blâme		
1	stupéfiant.le.plus		
1	odieux..le..plus		
1	le.N.s		
1	étal.é		
1	voit.3SG		
1	dress.é		
1	Silvestrig		
1	kiriek		
1	nobles		
1	roturiers		
1	charnier		
1	sont.3PL		
1	dispute		
1	dé..reproche		
1	.attrapera		
1	exemplaire		
1	I		
1	is/was.1SG		
1	slowly		
1	speaking.SG		
1	this		
1	is/was		
1	speaking		
1	toi_/_evit		
1	Marcel		
1	de.à.vous		
1	jetèrent		
1	défricher		
1	Bresilian		
1	lavait		
1	Tout		
1	chantait		
1	très_1_.plegañ		
1	_1_form.-adenn		
1	pied.sfx		
1	as.2SG		
1	P.art		
1	eux_ivez		
1	astuce		
1	dé--.verrouiller		
1	_1_dor		
1	tentation		
1	le_homme_(on)		
1	tôt.plus		
1	ées		
1	(te)_se_marvailh		
1	émerveill.-añ_(V.)		
1	artifice		
1	temple		
1	_1_bonne		
1	caresses		
1	galetière		
1	valsiñ		
1	valser		
1	réalisateur		
1	filmer		
1	par.sur		
1	_1_pont.-enn		
1	crèche.s		
1	celui.ci_(R)		
1	sur.près		
1	moi_POSS		
1	mon_vélo		
1	augment.é		
1	ferm.é		
1	10H		
1	un.eur		
1	radio		
1	jet.é		
1	orañjez		
1	oranges		
1	(sans_mutation)		
1	_1_fée		
1	laouenidigezh		
1	Sylvie		
1	pod		
1	3_gwech		
1	difficile.er		
1	bête.devenir		
1	atrapp..able		
1	fer..N		
1	pas.long		
1	pouce-ad		
1	à-hent		
1	fini.ssement		
1	beau..excl		
1	in..confort..N		
1	beau.té		
1	char.sfx		
1	blé..champs		
1	toi_(R)_1_		
1	pitoy..ant		
1	collin.eux-DEM		
1	bien_1_		
1	fossés		
1	un_eur		
1	pillonné		
1	non_1_.plaen		
1	tir.activité		
1	digor		
1	parl.sfx		
1	lect..eurs		
1	tournure--ci-tournure		
1	chose--ci-chose		
1	_1_prisonniers		
1	con--.sorte.s		
1	agriculteurs		
1	Solange		
1	vieux..DIM.plus		
1	grand.DIM.-oc'h		
1	peu.DIM.où		
1	peu.-ig		
1	DIM.où		
1	travaill.-iz		
1	parc..s..s		
1	betaat		
1	bêtir		
1	brasaat		
1	grandissez		
1	maison..n.ées		
1	proch		
1	de-après		
1	le.lann		
1	à-combat		
1	long-art		
1	à-de-,_di-		
1	pfx.araok		
1	de--parmi		
1	de_1_-bihan		
1	petit.-oc'h		
1	et_(ne_1_)		
1	à_1_-devri		
1	résolu		
1	dé.attach.é		
1	branche.DIM		
1	tordue		
1	à.de.sur		
1	march.and		
1	berzh		
1	succès		
1	achev.-et_(Adj.)		
1	a-zal		
1	pluie.-ach		
1	tombons		
1	boneur		
1	penn-da-benn		
1	intégralement		
1	gober		
1	officier.s		
1	voisin-ion		
1	il/Yann		
1	est_particule_o		
1	à_4__chom		
1	rester_a-gostez		
1	le.kurun		
1	mal.mis		
1	9.ième		
1	1SG.avais		
1	bête.s		
1	retourner		
1	diaz		
1	que-COP		
1	m.is..pomme.s		
1	leur-deux		
1	é_toujours		
1	importer		
1	tour.DIM		
1	pas.-ad		
1	sans_1_.vergogne		
1	pouce.-ad		
1	maison..n.ée.s		
1	proch.e		
1	naket		
1	.plaisant		
1	bén		
1	mal--boyaux		
1	emballé		
1	recouvert		
1	juché		
1	Touz		
1	Saint.e		
1	Anne		
1	c'hwitell		
1	sifflet.-at_(V.)		
1	à_1_-kaoz		
1	ai.é		
1	pilañ		
1	prom.-et_(Adj.)		
1	1.avait		
1	laisse-POP		
1	la-gwintañ		
1	culbuter		
1	le_hini		
1	celui_(R)		
1	juste_P.e		
1	50		
1	rive.s		
1	donner.vous		
1	à.milieu		
1	da.moi		
1	pontpont		
1	breviñ		
1	éreint.-et_(Adj.)		
1	kenderv		
1	venez_vers_1_.pronom_incorporé		
1	marchez_vers.pronom_incorporé		
1	le_agricult-iz		
1	sec'hiñ		
1	à-pfx.araok		
1	attir.-et_(Adj.)		
1	_1_barikenn		
1	barrique-DEM		
1	contient		
1	litr		
1	litre.-ad		
1	tavarn		
1	pour-sec'hiñ		
1	kousket		
1	mor--		
1	Fil-de-Fer		
1	semis		
1	attrap.able		
1	coin.ée		
1	le_linenn		
1	ligne.-où_(PL.)		
1	remarqué		
1	pommiers		
1	floraison		
1	le_Les_numéraux_cardinaux		
1	trois_truite		
1	froid.-aat		
1	_5_koef		
1	coiffe-DEM		
1	grains		
1	le.noroît		
1	eux.COP		
1	P-POSS		
1	leur_2_.tud		
1	le.Donn		
1	fleur.-iñ		
1	à_4__venir_en-dro		
1	doué		
1	sombre.-ded		
1	un_douar		
1	par(moi)		
1	passent		
1	de--dessus.nous		
1	lieutenant		
1	mal.x		
1	facil.er		
1	gwiskiñ		
1	à_1__les_numéraux_cardinaux		
1	eux-deux		
1	côté-pfi		
1	en-korf		
1	lessiveuse		
1	chans.on		
1	vannetais		
1	imprimé		
1	feuille-détachée		
1	Ollivier		
1	alliance		
1	le__5_kloc'h		
1	cloche.-ier_(PL.)		
1	tañvañ		
1	goût.-et_(Adj.)		
1	maison.nées		
1	à_4__kinnig		
1	proposer_dour		
1	eau_da		
1	D		
1	St-Meard		
1	fini.-mant		
1	ssement		
1	revue-où_(PL.)		
1	a_gouelañ		
1	à_1__tu		
1	côté_gant		
1	sitôt		
1	mettre.on		
1	pont.s		
1	Maître		
1	nac'hañ		
1	et-R.COP		
1	à_4_.armer		
1	eux._1_komz		
1	sans.sourci		
1	souci		
1	ça.non		
1	nous-echo		
1	notre-deux		
1	ranndi		
1	appartement-DEM		
1	six_heure		
1	heur.ée		
1	Paname		
1	le._1_bourk		
1	année-ci		
1	sans.limite.é		
1	-tout		
1	beau--#at_(excl..)		
1	in..confort.N		
1	radin		
1	et.s		
1	faut..3SG		
1	que_3SG		
1	domm		
1	Brasaat		
1	hennezh		
1	man		
1	daoulagad.		
1	pont.-où_(PL.)		
1	_1_tech		
1	penchant.-où_(PL.)		
1	davantage		
1	ai-le/la/les		
1	habask		
1	clément.-et_(Adj.)		
1	par-force		
1	mon_2_.labour		
1	avec-force		
1	très_gentil_a		
1	planch.e		
1	lunette.s		
1	Cupidon		
1	goro		
1	trait.-et_(Adj.)		
1	anduriñ		
1	avec-moi		
1	C!		
1	depuis_les_numéraux_cardinaux		
1	19		
